,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
171,806000,41730,6001428700,"Census Tract 4287, Alameda County, California"
172,668400,27747,6001430101,"Census Tract 4301.01, Alameda County, California"
173,632000,28108,6001430102,"Census Tract 4301.02, Alameda County, California"
174,603100,31238,6001430200,"Census Tract 4302, Alameda County, California"
175,632200,20839,6001430300,"Census Tract 4303, Alameda County, California"
176,593300,31748,6001430400,"Census Tract 4304, Alameda County, California"
177,419800,34057,6001430500,"Census Tract 4305, Alameda County, California"
178,560600,30130,6001430600,"Census Tract 4306, Alameda County, California"
179,508800,38382,6001430700,"Census Tract 4307, Alameda County, California"
180,490100,52329,6001430800,"Census Tract 4308, Alameda County, California"
181,387000,34560,6001430900,"Census Tract 4309, Alameda County, California"
182,393500,70079,6001431000,"Census Tract 4310, Alameda County, California"
183,410400,43154,6001431100,"Census Tract 4311, Alameda County, California"
184,329900,44458,6001431200,"Census Tract 4312, Alameda County, California"
185,489400,31156,6001432100,"Census Tract 4321, Alameda County, California"
186,475900,61427,6001432200,"Census Tract 4322, Alameda County, California"
187,373400,22120,6001432300,"Census Tract 4323, Alameda County, California"
188,375500,25366,6001432400,"Census Tract 4324, Alameda County, California"
189,383300,29344,6001432501,"Census Tract 4325.01, Alameda County, California"
190,349000,27220,6001432502,"Census Tract 4325.02, Alameda County, California"
191,302200,45111,6001432600,"Census Tract 4326, Alameda County, California"
192,447900,38401,6001432700,"Census Tract 4327, Alameda County, California"
193,639300,27811,6001432800,"Census Tract 4328, Alameda County, California"
194,380900,18247,6001433000,"Census Tract 4330, Alameda County, California"
195,408400,38608,6001433102,"Census Tract 4331.02, Alameda County, California"
196,320700,34512,6001433103,"Census Tract 4331.03, Alameda County, California"
197,209500,135854,6001433104,"Census Tract 4331.04, Alameda County, California"
198,368300,20919,6001433200,"Census Tract 4332, Alameda County, California"
199,383800,25781,6001433300,"Census Tract 4333, Alameda County, California"
200,426000,37683,6001433400,"Census Tract 4334, Alameda County, California"
201,378700,17225,6001433500,"Census Tract 4335, Alameda County, California"
202,362600,22967,6001433600,"Census Tract 4336, Alameda County, California"
203,333300,30722,6001433700,"Census Tract 4337, Alameda County, California"
204,320600,23829,6001433800,"Census Tract 4338, Alameda County, California"
205,208300,65009,6001433900,"Census Tract 4339, Alameda County, California"
206,308900,37395,6001434000,"Census Tract 4340, Alameda County, California"
207,547100,46509,6001435102,"Census Tract 4351.02, Alameda County, California"
208,728000,50065,6001435103,"Census Tract 4351.03, Alameda County, California"
209,343200,74611,6001435104,"Census Tract 4351.04, Alameda County, California"
210,452900,16077,6001435200,"Census Tract 4352, Alameda County, California"
211,392400,59446,6001435300,"Census Tract 4353, Alameda County, California"
212,312600,53276,6001435400,"Census Tract 4354, Alameda County, California"
213,353300,24075,6001435500,"Census Tract 4355, Alameda County, California"
214,256200,39984,6001435601,"Census Tract 4356.01, Alameda County, California"
215,331400,32146,6001435602,"Census Tract 4356.02, Alameda County, California"
216,367800,23947,6001435700,"Census Tract 4357, Alameda County, California"
217,332400,20240,6001435800,"Census Tract 4358, Alameda County, California"
218,391500,20654,6001435900,"Census Tract 4359, Alameda County, California"
219,388300,22020,6001436000,"Census Tract 4360, Alameda County, California"
220,353400,19858,6001436100,"Census Tract 4361, Alameda County, California"
221,294100,54568,6001436200,"Census Tract 4362, Alameda County, California"
222,378600,78812,6001436300,"Census Tract 4363, Alameda County, California"
223,395800,46806,6001436401,"Census Tract 4364.01, Alameda County, California"
224,562700,41180,6001436402,"Census Tract 4364.02, Alameda County, California"
225,359200,16571,6001436500,"Census Tract 4365, Alameda County, California"
226,340000,23191,6001436601,"Census Tract 4366.01, Alameda County, California"
227,357800,33779,6001436602,"Census Tract 4366.02, Alameda County, California"
228,334100,49130,6001436700,"Census Tract 4367, Alameda County, California"
229,355700,21084,6001436800,"Census Tract 4368, Alameda County, California"
230,343700,20278,6001436900,"Census Tract 4369, Alameda County, California"
231,373100,20258,6001437000,"Census Tract 4370, Alameda County, California"
232,451100,42573,6001437101,"Census Tract 4371.01, Alameda County, California"
233,340300,39096,6001437102,"Census Tract 4371.02, Alameda County, California"
234,420800,41125,6001437200,"Census Tract 4372, Alameda County, California"
235,399700,25052,6001437300,"Census Tract 4373, Alameda County, California"
236,350200,13496,6001437400,"Census Tract 4374, Alameda County, California"
237,343800,57080,6001437500,"Census Tract 4375, Alameda County, California"
238,344400,43259,6001437600,"Census Tract 4376, Alameda County, California"
239,210000,154967,6001437701,"Census Tract 4377.01, Alameda County, California"
240,331400,23226,6001437702,"Census Tract 4377.02, Alameda County, California"
241,365000,21746,6001437800,"Census Tract 4378, Alameda County, California"
242,350500,26700,6001437900,"Census Tract 4379, Alameda County, California"
243,497000,79681,6001438000,"Census Tract 4380, Alameda County, California"
244,363800,33421,6001438100,"Census Tract 4381, Alameda County, California"
245,254200,38564,6001438201,"Census Tract 4382.01, Alameda County, California"
246,368800,68183,6001438203,"Census Tract 4382.03, Alameda County, California"
247,158200,37691,6001438204,"Census Tract 4382.04, Alameda County, California"
248,325700,21954,6001438300,"Census Tract 4383, Alameda County, California"
249,350300,24034,6001438400,"Census Tract 4384, Alameda County, California"
250,353300,30277,6001440100,"Census Tract 4401, Alameda County, California"
251,400000,38230,6001440200,"Census Tract 4402, Alameda County, California"
252,453500,57457,6001440301,"Census Tract 4403.01, Alameda County, California"
253,424800,60948,6001440304,"Census Tract 4403.04, Alameda County, California"
254,550100,29165,6001440305,"Census Tract 4403.05, Alameda County, California"
255,372600,21473,6001440306,"Census Tract 4403.06, Alameda County, California"
256,284700,81603,6001440307,"Census Tract 4403.07, Alameda County, California"
257,501100,50257,6001440308,"Census Tract 4403.08, Alameda County, California"
258,457400,113215,6001440331,"Census Tract 4403.31, Alameda County, California"
259,735600,31309,6001440332,"Census Tract 4403.32, Alameda County, California"
260,628300,41340,6001440333,"Census Tract 4403.33, Alameda County, California"
261,486600,27824,6001440334,"Census Tract 4403.34, Alameda County, California"
262,636500,22150,6001440335,"Census Tract 4403.35, Alameda County, California"
263,464300,43983,6001440336,"Census Tract 4403.36, Alameda County, California"
264,614800,56347,6001441100,"Census Tract 4411, Alameda County, California"
265,623100,26662,6001441200,"Census Tract 4412, Alameda County, California"
266,784500,55386,6001441301,"Census Tract 4413.01, Alameda County, California"
267,641600,17552,6001441302,"Census Tract 4413.02, Alameda County, California"
268,514000,46674,6001441401,"Census Tract 4414.01, Alameda County, California"
269,635900,31888,6001441402,"Census Tract 4414.02, Alameda County, California"
270,664300,24891,6001441501,"Census Tract 4415.01, Alameda County, California"
271,639600,31074,6001441503,"Census Tract 4415.03, Alameda County, California"
272,649100,23699,6001441521,"Census Tract 4415.21, Alameda County, California"
273,560400,36430,6001441522,"Census Tract 4415.22, Alameda County, California"
274,591300,31262,6001441523,"Census Tract 4415.23, Alameda County, California"
275,658300,37238,6001441524,"Census Tract 4415.24, Alameda County, California"
276,560800,28921,6001441601,"Census Tract 4416.01, Alameda County, California"
277,496800,49737,6001441602,"Census Tract 4416.02, Alameda County, California"
278,458200,58419,6001441700,"Census Tract 4417, Alameda County, California"
279,563000,53777,6001441800,"Census Tract 4418, Alameda County, California"
280,510700,86560,6001441921,"Census Tract 4419.21, Alameda County, California"
281,433300,68114,6001441923,"Census Tract 4419.23, Alameda County, California"
282,541600,46010,6001441924,"Census Tract 4419.24, Alameda County, California"
283,288700,104706,6001441925,"Census Tract 4419.25, Alameda County, California"
284,529500,77028,6001441926,"Census Tract 4419.26, Alameda County, California"
285,490500,62401,6001441927,"Census Tract 4419.27, Alameda County, California"
286,1127300,61524,6001442000,"Census Tract 4420, Alameda County, California"
287,914100,26918,6001442100,"Census Tract 4421, Alameda County, California"
288,960000,62997,6001442200,"Census Tract 4422, Alameda County, California"
289,632900,18923,6001442301,"Census Tract 4423.01, Alameda County, California"
290,552500,65560,6001442302,"Census Tract 4423.02, Alameda County, California"
291,561600,28086,6001442400,"Census Tract 4424, Alameda County, California"
292,493700,48374,6001442500,"Census Tract 4425, Alameda County, California"
293,690000,37105,6001442601,"Census Tract 4426.01, Alameda County, California"
294,746400,67770,6001442602,"Census Tract 4426.02, Alameda County, California"
295,621800,17196,6001442700,"Census Tract 4427, Alameda County, California"
296,551600,36148,6001442800,"Census Tract 4428, Alameda County, California"
297,578300,22953,6001442900,"Census Tract 4429, Alameda County, California"
298,480900,28533,6001443001,"Census Tract 4430.01, Alameda County, California"
299,534600,39221,6001443002,"Census Tract 4430.02, Alameda County, California"
300,978600,47564,6001443102,"Census Tract 4431.02, Alameda County, California"
301,1232600,111792,6001443103,"Census Tract 4431.03, Alameda County, California"
302,1004200,71353,6001443104,"Census Tract 4431.04, Alameda County, California"
303,982400,50608,6001443105,"Census Tract 4431.05, Alameda County, California"
304,1383400,136041,6001443200,"Census Tract 4432, Alameda County, California"
305,774000,57550,6001443301,"Census Tract 4433.01, Alameda County, California"
306,435700,48311,6001443321,"Census Tract 4433.21, Alameda County, California"
307,789000,52910,6001443322,"Census Tract 4433.22, Alameda County, California"
308,573000,35795,6001444100,"Census Tract 4441, Alameda County, California"
309,460900,31283,6001444200,"Census Tract 4442, Alameda County, California"
310,549100,38796,6001444301,"Census Tract 4443.01, Alameda County, California"
311,538900,35802,6001444302,"Census Tract 4443.02, Alameda County, California"
312,389500,37886,6001444400,"Census Tract 4444, Alameda County, California"
313,490900,40144,6001444500,"Census Tract 4445, Alameda County, California"
314,501000,36775,6001444601,"Census Tract 4446.01, Alameda County, California"
315,423600,38238,6001444602,"Census Tract 4446.02, Alameda County, California"
316,625000,47133,6001450101,"Census Tract 4501.01, Alameda County, California"
317,743000,58801,6001450102,"Census Tract 4501.02, Alameda County, California"
318,532800,59638,6001450200,"Census Tract 4502, Alameda County, California"
319,539600,36070,6001450300,"Census Tract 4503, Alameda County, California"
320,492200,28110,6001450400,"Census Tract 4504, Alameda County, California"
321,543200,48630,6001450501,"Census Tract 4505.01, Alameda County, California"
322,745700,56421,6001450502,"Census Tract 4505.02, Alameda County, California"
323,1018600,113999,6001450601,"Census Tract 4506.01, Alameda County, California"
324,729500,41301,6001450602,"Census Tract 4506.02, Alameda County, California"
325,640300,14061,6001450603,"Census Tract 4506.03, Alameda County, California"
326,862500,18938,6001450604,"Census Tract 4506.04, Alameda County, California"
327,674300,53064,6001450605,"Census Tract 4506.05, Alameda County, California"
328,843800,26218,6001450606,"Census Tract 4506.06, Alameda County, California"
329,806300,71379,6001450607,"Census Tract 4506.07, Alameda County, California"
330,1214400,76231,6001450701,"Census Tract 4507.01, Alameda County, California"
331,791100,44841,6001450741,"Census Tract 4507.41, Alameda County, California"
332,716500,69180,6001450742,"Census Tract 4507.42, Alameda County, California"
333,529300,75848,6001450743,"Census Tract 4507.43, Alameda County, California"
334,705400,39868,6001450744,"Census Tract 4507.44, Alameda County, California"
335,719400,40463,6001450745,"Census Tract 4507.45, Alameda County, California"
336,636500,16736,6001450746,"Census Tract 4507.46, Alameda County, California"
337,429000,26193,6001450750,"Census Tract 4507.50, Alameda County, California"
338,839400,17544,6001450751,"Census Tract 4507.51, Alameda County, California"
339,897900,42125,6001450752,"Census Tract 4507.52, Alameda County, California"
340,651500,65373,6001451101,"Census Tract 4511.01, Alameda County, California"
341,897600,31059,6001451102,"Census Tract 4511.02, Alameda County, California"
342,425100,32793,6001451201,"Census Tract 4512.01, Alameda County, California"
343,479200,31894,6001451202,"Census Tract 4512.02, Alameda County, California"
344,481500,25424,6001451300,"Census Tract 4513, Alameda County, California"
345,571800,40062,6001451401,"Census Tract 4514.01, Alameda County, California"
346,417400,35141,6001451403,"Census Tract 4514.03, Alameda County, California"
347,366200,31794,6001451404,"Census Tract 4514.04, Alameda County, California"
348,670000,74845,6001451501,"Census Tract 4515.01, Alameda County, California"
349,462000,36177,6001451503,"Census Tract 4515.03, Alameda County, California"
350,506800,58144,6001451504,"Census Tract 4515.04, Alameda County, California"
351,641600,30420,6001451505,"Census Tract 4515.05, Alameda County, California"
352,494200,50393,6001451506,"Census Tract 4515.06, Alameda County, California"
353,768400,40116,6001451601,"Census Tract 4516.01, Alameda County, California"
354,529600,49288,6001451602,"Census Tract 4516.02, Alameda County, California"
355,491500,33432,6001451701,"Census Tract 4517.01, Alameda County, California"
356,618900,45236,6001451703,"Census Tract 4517.03, Alameda County, California"
357,581800,43240,6001451704,"Census Tract 4517.04, Alameda County, California"
359,384400,56096,6001982000,"Census Tract 9820, Alameda County, California"
360,421300,47811,6001983200,"Census Tract 9832, Alameda County, California"
362,295000,31787,6003010000,"Census Tract 100, Alpine County, California"
363,248300,29219,6005000101,"Census Tract 1.01, Amador County, California"
364,209400,34522,6005000102,"Census Tract 1.02, Amador County, California"
365,329400,40843,6005000200,"Census Tract 2, Amador County, California"
366,248900,47682,6005000301,"Census Tract 3.01, Amador County, California"
367,235400,26584,6005000303,"Census Tract 3.03, Amador County, California"
368,256200,24757,6005000304,"Census Tract 3.04, Amador County, California"
369,254300,32857,6005000401,"Census Tract 4.01, Amador County, California"
370,258300,33876,6005000402,"Census Tract 4.02, Amador County, California"
371,265200,36663,6005000500,"Census Tract 5, Amador County, California"
372,233800,14135,6007000102,"Census Tract 1.02, Butte County, California"
373,264600,15498,6007000103,"Census Tract 1.03, Butte County, California"
374,250600,25927,6007000104,"Census Tract 1.04, Butte County, California"
375,227600,18236,6007000201,"Census Tract 2.01, Butte County, California"
376,172800,23278,6007000202,"Census Tract 2.02, Butte County, California"
377,176100,35000,6007000300,"Census Tract 3, Butte County, California"
378,319500,32606,6007000401,"Census Tract 4.01, Butte County, California"
379,318000,19488,6007000402,"Census Tract 4.02, Butte County, California"
380,353800,19429,6007000501,"Census Tract 5.01, Butte County, California"
381,241700,27113,6007000502,"Census Tract 5.02, Butte County, California"
382,283400,9515,6007000601,"Census Tract 6.01, Butte County, California"
383,268300,29359,6007000603,"Census Tract 6.03, Butte County, California"
384,266100,40322,6007000604,"Census Tract 6.04, Butte County, California"
385,227000,19501,6007000700,"Census Tract 7, Butte County, California"
386,266000,16557,6007000800,"Census Tract 8, Butte County, California"
387,340200,19476,6007000901,"Census Tract 9.01, Butte County, California"
388,244200,12392,6007000903,"Census Tract 9.03, Butte County, California"
389,323900,22092,6007000904,"Census Tract 9.04, Butte County, California"
390,277000,45497,6007001000,"Census Tract 10, Butte County, California"
391,243800,71690,6007001100,"Census Tract 11, Butte County, California"
392,218600,37666,6007001200,"Census Tract 12, Butte County, California"
393,154200,21296,6007001300,"Census Tract 13, Butte County, California"
394,426300,30595,6007001400,"Census Tract 14, Butte County, California"
395,386400,59370,6007001500,"Census Tract 15, Butte County, California"
396,363900,31860,6007001600,"Census Tract 16, Butte County, California"
397,155100,8266,6007001702,"Census Tract 17.02, Butte County, California"
398,160100,15622,6007001703,"Census Tract 17.03, Butte County, California"
399,132200,47339,6007001704,"Census Tract 17.04, Butte County, California"
400,165800,21538,6007001800,"Census Tract 18, Butte County, California"
401,200200,24293,6007001900,"Census Tract 19, Butte County, California"
402,189900,20474,6007002000,"Census Tract 20, Butte County, California"
403,225600,16397,6007002100,"Census Tract 21, Butte County, California"
404,246300,37261,6007002200,"Census Tract 22, Butte County, California"
405,217900,26779,6007002300,"Census Tract 23, Butte County, California"
406,176900,20676,6007002400,"Census Tract 24, Butte County, California"
407,163900,12845,6007002500,"Census Tract 25, Butte County, California"
408,155800,24313,6007002601,"Census Tract 26.01, Butte County, California"
409,173500,28450,6007002602,"Census Tract 26.02, Butte County, California"
410,169500,16691,6007002700,"Census Tract 27, Butte County, California"
411,116500,18719,6007002800,"Census Tract 28, Butte County, California"
412,149300,12755,6007002900,"Census Tract 29, Butte County, California"
413,64800,13015,6007003001,"Census Tract 30.01, Butte County, California"
414,109200,12178,6007003002,"Census Tract 30.02, Butte County, California"
415,158600,10816,6007003100,"Census Tract 31, Butte County, California"
416,145000,30858,6007003200,"Census Tract 32, Butte County, California"
417,204900,32927,6007003300,"Census Tract 33, Butte County, California"
418,224500,24124,6007003400,"Census Tract 34, Butte County, California"
419,178700,12326,6007003501,"Census Tract 35.01, Butte County, California"
420,134700,17679,6007003502,"Census Tract 35.02, Butte County, California"
421,166600,12445,6007003600,"Census Tract 36, Butte County, California"
422,143200,34542,6007003700,"Census Tract 37, Butte County, California"
423,245300,31098,6009000120,"Census Tract 1.20, Calaveras County, California"
424,240900,36226,6009000121,"Census Tract 1.21, Calaveras County, California"
425,242000,36633,6009000122,"Census Tract 1.22, Calaveras County, California"
426,254600,21370,6009000210,"Census Tract 2.10, Calaveras County, California"
427,207500,21839,6009000220,"Census Tract 2.20, Calaveras County, California"
428,236800,42974,6009000300,"Census Tract 3, Calaveras County, California"
429,208100,30621,6009000400,"Census Tract 4, Calaveras County, California"
430,308800,36867,6009000501,"Census Tract 5.01, Calaveras County, California"
431,309300,62355,6009000503,"Census Tract 5.03, Calaveras County, California"
432,297700,46943,6009000504,"Census Tract 5.04, Calaveras County, California"
